,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.8259269912943711,0.4689877343273435,0.40077436268648287,0.42137491403952626
mean_std,0.8259269912943711,1.0,0.6330560341781531,0.3969681098504822,0.5342614846303769
percentiles,0.4689877343273435,0.6330560341781531,1.0,0.07986466419712668,0.4766922144266
pca,0.40077436268648287,0.3969681098504822,0.07986466419712668,1.0000000000000002,0.05902777777777777
flatten,0.42137491403952626,0.5342614846303769,0.4766922144266,0.05902777777777777,0.9999999999999999
