,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,0.9999999999999999,0.5156240930072565,0.52768975182635,0.14093032191052007,0.2949552504802204
mean_std,0.5156240930072565,0.9999999999999999,0.6838356823682372,0.18583635574599333,0.4943558762288604
percentiles,0.5276897518263499,0.6838356823682373,1.0000000000000002,0.034335080174973644,0.424833277414636
pca,0.14093032191052007,0.18583635574599333,0.034335080174973644,0.9999999999999998,0.0
flatten,0.2949552504802205,0.4943558762288604,0.42483327741463606,0.0,0.9999999999999999
