,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.9757980607147971,0.6702263546653617,0.7600972058936962,0.630681957206024
mean_std,0.9757980607147971,0.9999999999999999,0.7474591785683515,0.783720487740271,0.7011018766030718
percentiles,0.6702263546653617,0.7474591785683515,1.0,0.5488419673459531,0.8180529394482196
pca,0.7600972058936962,0.783720487740271,0.5488419673459531,1.0,0.3764710098878843
flatten,0.630681957206024,0.7011018766030718,0.8180529394482196,0.3764710098878843,1.0000000000000002
