network_name,hcp_score,camcan_score,hcp_rank,camcan_rank
Default,0.9952582703602353,0.7329734742787606,1,2
Somatomotor,0.9251327157480926,0.721686176034409,2,3
Control,0.8649834960126739,0.6404281326381431,3,4
VentralAttention,0.667833132138058,0.4913278959368049,4,6
DorsalAttention,0.6250408541259178,0.4667318128857267,5,7
Visual,0.521218885652811,0.744167918413957,6,1
Limbic,0.46096140801028496,0.5602834543024853,7,5
