network_name,summary_stats,mean_std,percentiles,pca,flatten
SomMotA,0.523028112980136,0.94624,0.9760104919548828,0.9870910456936002,0.7040479858398437
DefaultB,0.7194360229171914,0.9997247488,0.9897064219155595,0.975868739490201,0.10878125000000005
DefaultA,0.6130998603798467,0.950368,0.6407988100196346,0.8422238918106687,0.42578125
DefaultC,0.45566014160766355,0.990592,0.9992296543107039,0.0,0.9675976562499999
SalVentAttnA,0.5957029252115311,0.1705279999999999,0.4881988702962017,0.8037190082644627,0.5045465835952758
ContB,0.4010248872493606,0.9293440000000001,0.9790465972511454,0.0,0.13593749999999993
DorsAttnB,0.499305701668037,0.43600000000000005,0.39974304545117856,0.13636363636363635,0.6797411651611327
ContC,0.48528874873564587,0.23560000000000003,0.39758967097042897,0.5289256198347108,0.4249625488281249
VisPeri,0.3794236738773811,0.0,0.10948038317367759,0.5284389727477632,0.7973766430664062
DorsAttnA,0.4545048080306675,0.040000000000000036,0.15964026363165007,0.3890250603845987,0.4260156249999999
