,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.26259946949602125,0.38533627342888643,0.2562628336755647,0.21345407503234157
mean_std,0.26259946949602125,1.0,0.5347474747474747,0.23411764705882354,0.14483714483714483
percentiles,0.38533627342888643,0.5347474747474747,1.0,0.2665046577561766,0.18287037037037038
pca,0.2562628336755647,0.23411764705882354,0.2665046577561766,1.0,0.285646836638338
flatten,0.21345407503234157,0.14483714483714483,0.18287037037037038,0.285646836638338,1.0
