,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.3548514851485148,0.36284627919608897,0.33881493082746017,0.1469964664310954
mean_std,0.3548514851485148,1.0,0.45110410094637216,0.35135942635195705,0.1604790419161677
percentiles,0.36284627919608897,0.45110410094637216,1.0,0.24892857142857144,0.1336053034166242
pca,0.33881493082746017,0.35135942635195705,0.24892857142857144,1.0,0.11385767790262175
flatten,0.1469964664310954,0.1604790419161677,0.1336053034166242,0.11385767790262175,1.0
