,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.960995938005012,0.9083750967748432,0.936616846889536,0.6728105489568719
mean_std,0.960995938005012,0.9999999999999998,0.9421843304842645,0.9119790198298958,0.6799427388173429
percentiles,0.9083750967748432,0.9421843304842645,1.0,0.8136160913081881,0.727063578554112
pca,0.936616846889536,0.9119790198298958,0.8136160913081881,1.0,0.5549580245465665
flatten,0.6728105489568719,0.6799427388173429,0.727063578554112,0.5549580245465665,1.0
