,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.22260488415779586,0.2703252032520326,0.17486338797814208,0.07828282828282827
mean_std,0.22260488415779583,1.0,0.6738922537456169,0.22743055555555558,0.09183673469387754
percentiles,0.27032520325203246,0.6738922537456169,1.0,0.18891170431211504,0.11359867330016585
pca,0.17486338797814208,0.22743055555555558,0.18891170431211504,1.0,0.2501918649270913
flatten,0.07828282828282829,0.09183673469387754,0.11359867330016583,0.2501918649270914,1.0
