,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0000000000000002,0.619860067037814,0.7282074158347642,0.6517288461847653,0.5168766202984362
mean_std,0.619860067037814,1.0,0.8917743685860114,0.43970759030158113,0.4559924441340692
percentiles,0.7282074158347642,0.8917743685860114,1.0,0.5533037167107904,0.5372458598563743
pca,0.6517288461847653,0.43970759030158113,0.5533037167107904,1.0,0.3263908776696566
flatten,0.5168766202984362,0.4559924441340692,0.5372458598563743,0.3263908776696566,1.0
