,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.7034345002989657,0.9195753280336789,0.8997206523936272,0.7811385388612485
mean_std,0.7034345002989657,1.0,0.8713143677480942,0.5596503081440259,0.5462921055815352
percentiles,0.9195753280336789,0.8713143677480942,0.9999999999999999,0.7944260545023414,0.7842437992017375
pca,0.8997206523936272,0.5596503081440259,0.7944260545023414,1.0000000000000002,0.7002767013416813
flatten,0.7811385388612485,0.5462921055815352,0.7842437992017375,0.7002767013416813,0.9999999999999998
