,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.5697175237905894,0.5641693418070918,0.4087319321233776,0.16622187075947892
mean_std,0.5697175237905894,1.0000000000000002,0.9083685361137405,0.4008962498203259,0.17932547306886623
percentiles,0.5641693418070919,0.9083685361137405,1.0000000000000002,0.3407947276876659,0.21877847713450227
pca,0.4087319321233778,0.4008962498203259,0.3407947276876659,1.0000000000000002,0.42030656808866973
flatten,0.1662218707594789,0.1793254730688662,0.21877847713450235,0.42030656808866973,1.0
