,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.4451364175563464,0.16859122401847576,0.15151515151515152,0.17012448132780084
mean_std,0.4451364175563464,1.0,0.23786268313702955,0.13841717398269784,0.21434159061277705
percentiles,0.16859122401847576,0.23786268313702955,1.0,0.055350553505535055,0.2207792207792208
pca,0.15151515151515152,0.13841717398269784,0.055350553505535055,1.0,0.03458646616541354
flatten,0.17012448132780084,0.21434159061277705,0.2207792207792208,0.03458646616541354,1.0
