,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.2337472607742878,0.20821114369501467,0.19707828004410147,0.09808148307824963
mean_std,0.23374726077428784,1.0,0.5717344753747323,0.20562335856635253,0.20411233701103312
percentiles,0.20821114369501464,0.5717344753747323,1.0,0.29852135249715644,0.17585848074921956
pca,0.19707828004410147,0.20562335856635253,0.29852135249715644,1.0,0.07557149260421335
flatten,0.09808148307824963,0.2041123370110331,0.17585848074921956,0.07557149260421335,1.0
