,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.36741243800390205,0.3376892654419986,0.35463713817383485,0.08915581560056395
mean_std,0.36741243800390205,1.0,0.8989637590016749,0.38256219970563166,0.25198466877365394
percentiles,0.3376892654419986,0.8989637590016749,1.0,0.43196142906212587,0.2407538090273365
pca,0.35463713817383485,0.3825621997056316,0.4319614290621258,1.0,0.09560318440015363
flatten,0.08915581560056395,0.25198466877365394,0.2407538090273365,0.09560318440015363,1.0
