dataset,model,region_id,region_name,average_score,embedding_count
camcan,region_elasticnet,40,17Networks_LH_DefaultA_PFCm_1,0.0676190476190476,5
camcan,region_elasticnet,32,17Networks_LH_ContA_PFCl_1,0.06952380952380952,5
camcan,region_elasticnet,85,17Networks_RH_ContB_PFCld_1,0.06952380952380952,5
camcan,region_elasticnet,88,17Networks_RH_ContC_pCun_1,0.07047619047619047,5
camcan,region_elasticnet,41,17Networks_LH_DefaultB_Temp_1,0.07142857142857142,5
camcan,region_elasticnet,63,17Networks_RH_SomMotB_S2_2,0.07238095238095238,5
camcan,region_elasticnet,14,17Networks_LH_DorsAttnA_TempOcc_1,0.07619047619047618,5
camcan,region_elasticnet,80,17Networks_RH_ContA_IPS_1,0.07714285714285715,5
camcan,region_elasticnet,22,17Networks_LH_SalVentAttnA_Ins_1,0.08,5
camcan,region_elasticnet,55,17Networks_RH_VisPeri_ExStrInf_1,0.08095238095238096,5
camcan,region_elasticnet,100,17Networks_RH_TempPar_3,0.08285714285714285,5
camcan,region_elasticnet,1,17Networks_LH_VisCent_ExStr_1,0.0838095238095238,5
camcan,region_elasticnet,51,17Networks_RH_VisCent_ExStr_1,0.08571428571428572,5
camcan,region_elasticnet,29,17Networks_LH_LimbicA_TempPole_1,0.08761904761904762,5
camcan,region_elasticnet,64,17Networks_RH_SomMotB_Cent_1,0.09142857142857143,5
camcan,region_elasticnet,37,17Networks_LH_ContC_Cingp_1,0.09142857142857144,5
camcan,region_elasticnet,34,17Networks_LH_ContB_PFClv_1,0.09714285714285716,5
camcan,region_elasticnet,43,17Networks_LH_DefaultB_IPL_1,0.10095238095238095,5
camcan,region_elasticnet,79,17Networks_RH_LimbicA_TempPole_1,0.1019047619047619,5
camcan,region_elasticnet,31,17Networks_LH_ContA_IPS_1,0.10666666666666666,5
camcan,region_elasticnet,24,17Networks_LH_SalVentAttnA_ParMed_1,0.11333333333333333,5
camcan,region_elasticnet,17,17Networks_LH_DorsAttnB_PostC_1,0.11619047619047618,5
camcan,region_elasticnet,53,17Networks_RH_VisCent_ExStr_3,0.12095238095238095,5
camcan,region_elasticnet,61,17Networks_RH_SomMotB_Aud_1,0.12190476190476189,5
camcan,region_elasticnet,13,17Networks_LH_SomMotB_Cent_1,0.12190476190476192,5
camcan,region_elasticnet,95,17Networks_RH_DefaultB_PFCv_2,0.12952380952380954,5
camcan,region_elasticnet,2,17Networks_LH_VisCent_ExStr_2,0.14476190476190476,5
camcan,region_elasticnet,86,17Networks_RH_ContB_PFClv_1,0.14857142857142858,5
camcan,region_elasticnet,99,17Networks_RH_TempPar_2,0.14952380952380953,5
camcan,region_elasticnet,93,17Networks_RH_DefaultB_PFCd_1,0.15523809523809523,5
camcan,region_elasticnet,52,17Networks_RH_VisCent_ExStr_2,0.1580952380952381,5
camcan,region_elasticnet,60,17Networks_RH_SomMotA_4,0.1580952380952381,5
camcan,region_elasticnet,87,17Networks_RH_ContC_Cingp_1,0.17238095238095238,5
camcan,region_elasticnet,9,17Networks_LH_SomMotA_2,0.19523809523809524,5
camcan,region_elasticnet,8,17Networks_LH_SomMotA_1,0.21142857142857144,5
camcan,region_elasticnet,4,17Networks_LH_VisCent_ExStr_3,0.22000000000000003,5
camcan,region_elasticnet,78,17Networks_RH_LimbicB_OFC_1,0.22952380952380952,5
camcan,region_elasticnet,59,17Networks_RH_SomMotA_3,0.28190476190476194,5
camcan,region_elasticnet,28,17Networks_LH_LimbicB_OFC_1,0.41047619047619044,5
camcan,region_elasticnet,3,17Networks_LH_VisCent_Striate_1,0.52,5
camcan,region_group_lasso,11,17Networks_LH_SomMotB_S2_1,0.008,5
camcan,region_group_lasso,75,17Networks_RH_SalVentAttnB_IPL_1,0.008,5
camcan,region_group_lasso,56,17Networks_RH_VisPeri_ExStrSup_1,0.012444444444444445,5
camcan,region_group_lasso,89,17Networks_RH_DefaultA_IPL_1,0.012444444444444445,5
camcan,region_group_lasso,42,17Networks_LH_DefaultB_Temp_2,0.016,5
camcan,region_group_lasso,94,17Networks_RH_DefaultB_PFCv_1,0.016,5
camcan,region_group_lasso,96,17Networks_RH_DefaultC_Rsp_1,0.016,5
camcan,region_group_lasso,82,17Networks_RH_ContA_PFCl_2,0.01688888888888889,5
camcan,region_group_lasso,47,17Networks_LH_DefaultB_PFCv_2,0.017444444444444446,5
camcan,region_group_lasso,48,17Networks_LH_DefaultC_Rsp_1,0.017444444444444446,5
camcan,region_group_lasso,69,17Networks_RH_DorsAttnB_PostC_2,0.020444444444444446,5
camcan,region_group_lasso,7,17Networks_LH_VisPeri_ExStrSup_1,0.021888888888888892,5
camcan,region_group_lasso,38,17Networks_LH_DefaultA_PFCd_1,0.021888888888888892,5
camcan,region_group_lasso,36,17Networks_LH_ContC_pCun_2,0.024888888888888887,5
camcan,region_group_lasso,49,17Networks_LH_DefaultC_PHC_1,0.024888888888888887,5
camcan,region_group_lasso,76,17Networks_RH_SalVentAttnB_PFCl_1,0.024888888888888887,5
camcan,region_group_lasso,57,17Networks_RH_SomMotA_1,0.025444444444444447,5
camcan,region_group_lasso,67,17Networks_RH_DorsAttnA_SPL_1,0.02688888888888889,5
camcan,region_group_lasso,21,17Networks_LH_SalVentAttnA_ParOper_1,0.02744444444444445,5
camcan,region_group_lasso,81,17Networks_RH_ContA_PFCl_1,0.028444444444444446,5
camcan,region_group_lasso,19,17Networks_LH_DorsAttnB_PostC_3,0.029000000000000005,5
camcan,region_group_lasso,90,17Networks_RH_DefaultA_PFCd_1,0.029000000000000005,5
camcan,region_group_lasso,83,17Networks_RH_ContB_Temp_1,0.031,5
camcan,region_group_lasso,30,17Networks_LH_LimbicA_TempPole_2,0.03188888888888889,5
camcan,region_group_lasso,45,17Networks_LH_DefaultB_PFCl_1,0.032,5
camcan,region_group_lasso,5,17Networks_LH_VisPeri_ExStrInf_1,0.03244444444444444,5
camcan,region_group_lasso,6,17Networks_LH_VisPeri_StriCal_1,0.03288888888888889,5
camcan,region_group_lasso,18,17Networks_LH_DorsAttnB_PostC_2,0.033,5
camcan,region_group_lasso,54,17Networks_RH_VisPeri_StriCal_1,0.03344444444444444,5
camcan,region_group_lasso,70,17Networks_RH_DorsAttnB_FEF_1,0.036444444444444446,5
camcan,region_group_lasso,64,17Networks_RH_SomMotB_Cent_1,0.03866666666666667,5
camcan,region_group_lasso,77,17Networks_RH_SalVentAttnB_PFCmp_1,0.04,5
camcan,region_group_lasso,84,17Networks_RH_ContB_IPL_1,0.04,5
camcan,region_group_lasso,26,17Networks_LH_SalVentAttnB_PFCl_1,0.041444444444444443,5
camcan,region_group_lasso,62,17Networks_RH_SomMotB_S2_1,0.042333333333333334,5
camcan,region_group_lasso,65,17Networks_RH_DorsAttnA_TempOcc_1,0.042888888888888886,5
camcan,region_group_lasso,98,17Networks_RH_TempPar_1,0.043777777777777784,5
camcan,region_group_lasso,20,17Networks_LH_DorsAttnB_FEF_1,0.04444444444444444,5
camcan,region_group_lasso,50,17Networks_LH_TempPar_1,0.04444444444444444,5
camcan,region_group_lasso,33,17Networks_LH_ContA_PFCl_2,0.04622222222222222,5
camcan,region_group_lasso,15,17Networks_LH_DorsAttnA_ParOcc_1,0.048,5
camcan,region_group_lasso,39,17Networks_LH_DefaultA_pCunPCC_1,0.04888888888888889,5
camcan,region_group_lasso,12,17Networks_LH_SomMotB_S2_2,0.049444444444444444,5
camcan,region_group_lasso,85,17Networks_RH_ContB_PFCld_1,0.05,5
camcan,region_group_lasso,72,17Networks_RH_SalVentAttnA_Ins_1,0.050777777777777776,5
camcan,region_group_lasso,91,17Networks_RH_DefaultA_pCunPCC_1,0.05177777777777778,5
camcan,region_group_lasso,68,17Networks_RH_DorsAttnB_PostC_1,0.052000000000000005,5
camcan,region_group_lasso,66,17Networks_RH_DorsAttnA_ParOcc_1,0.05388888888888889,5
camcan,region_group_lasso,55,17Networks_RH_VisPeri_ExStrInf_1,0.05533333333333333,5
camcan,region_group_lasso,32,17Networks_LH_ContA_PFCl_1,0.05611111111111111,5
camcan,region_group_lasso,73,17Networks_RH_SalVentAttnA_ParMed_1,0.05644444444444444,5
camcan,region_group_lasso,40,17Networks_LH_DefaultA_PFCm_1,0.058666666666666666,5
camcan,region_group_lasso,71,17Networks_RH_SalVentAttnA_ParOper_1,0.06188888888888888,5
camcan,region_group_lasso,2,17Networks_LH_VisCent_ExStr_2,0.06633333333333333,5
camcan,region_group_lasso,41,17Networks_LH_DefaultB_Temp_1,0.07033333333333333,5
camcan,region_group_lasso,23,17Networks_LH_SalVentAttnA_Ins_2,0.07111111111111111,5
camcan,region_group_lasso,97,17Networks_RH_DefaultC_PHC_1,0.07177777777777777,5
camcan,region_group_lasso,37,17Networks_LH_ContC_Cingp_1,0.072,5
camcan,region_group_lasso,27,17Networks_LH_SalVentAttnB_PFCmp_1,0.074,5
camcan,region_group_lasso,53,17Networks_RH_VisCent_ExStr_3,0.074,5
camcan,region_group_lasso,16,17Networks_LH_DorsAttnA_SPL_1,0.07544444444444445,5
camcan,region_group_lasso,46,17Networks_LH_DefaultB_PFCv_1,0.07577777777777778,5
camcan,region_group_lasso,74,17Networks_RH_SalVentAttnA_FrMed_1,0.07788888888888888,5
camcan,region_group_lasso,17,17Networks_LH_DorsAttnB_PostC_1,0.07866666666666666,5
camcan,region_group_lasso,92,17Networks_RH_DefaultA_PFCm_1,0.08166666666666667,5
camcan,region_group_lasso,80,17Networks_RH_ContA_IPS_1,0.085,5
camcan,region_group_lasso,25,17Networks_LH_SalVentAttnA_FrMed_1,0.092,5
camcan,region_group_lasso,63,17Networks_RH_SomMotB_S2_2,0.09333333333333334,5
camcan,region_group_lasso,88,17Networks_RH_ContC_pCun_1,0.095,5
camcan,region_group_lasso,58,17Networks_RH_SomMotA_2,0.09655555555555555,5
camcan,region_group_lasso,10,17Networks_LH_SomMotB_Aud_1,0.10277777777777777,5
camcan,region_group_lasso,34,17Networks_LH_ContB_PFClv_1,0.10333333333333332,5
camcan,region_group_lasso,51,17Networks_RH_VisCent_ExStr_1,0.10588888888888888,5
camcan,region_group_lasso,13,17Networks_LH_SomMotB_Cent_1,0.11011111111111109,5
camcan,region_group_lasso,99,17Networks_RH_TempPar_2,0.11066666666666666,5
camcan,region_group_lasso,35,17Networks_LH_ContC_pCun_1,0.11177777777777778,5
camcan,region_group_lasso,100,17Networks_RH_TempPar_3,0.11499999999999999,5
camcan,region_group_lasso,14,17Networks_LH_DorsAttnA_TempOcc_1,0.12111111111111113,5
camcan,region_group_lasso,95,17Networks_RH_DefaultB_PFCv_2,0.12722222222222224,5
camcan,region_group_lasso,29,17Networks_LH_LimbicA_TempPole_1,0.13155555555555556,5
camcan,region_group_lasso,87,17Networks_RH_ContC_Cingp_1,0.13366666666666666,5
camcan,region_group_lasso,8,17Networks_LH_SomMotA_1,0.13877777777777778,5
camcan,region_group_lasso,31,17Networks_LH_ContA_IPS_1,0.14,5
camcan,region_group_lasso,22,17Networks_LH_SalVentAttnA_Ins_1,0.14033333333333334,5
camcan,region_group_lasso,60,17Networks_RH_SomMotA_4,0.14177777777777778,5
camcan,region_group_lasso,1,17Networks_LH_VisCent_ExStr_1,0.14355555555555558,5
camcan,region_group_lasso,24,17Networks_LH_SalVentAttnA_ParMed_1,0.14500000000000002,5
camcan,region_group_lasso,44,17Networks_LH_DefaultB_PFCd_1,0.14855555555555555,5
camcan,region_group_lasso,79,17Networks_RH_LimbicA_TempPole_1,0.14866666666666667,5
camcan,region_group_lasso,61,17Networks_RH_SomMotB_Aud_1,0.149,5
camcan,region_group_lasso,52,17Networks_RH_VisCent_ExStr_2,0.16444444444444445,5
camcan,region_group_lasso,4,17Networks_LH_VisCent_ExStr_3,0.18644444444444444,5
camcan,region_group_lasso,78,17Networks_RH_LimbicB_OFC_1,0.1911111111111111,5
