,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.7144587326479123,0.6461437467759916,0.6519688103313069,0.37867119702112223
mean_std,0.7144587326479123,1.0,0.8483454123469417,0.5098442370101776,0.35475087222499746
percentiles,0.6461437467759916,0.8483454123469417,1.0000000000000002,0.28072094969436834,0.33402484611347083
pca,0.6519688103313069,0.5098442370101776,0.28072094969436834,0.9999999999999999,0.2301083625098688
flatten,0.37867119702112223,0.35475087222499746,0.33402484611347083,0.2301083625098688,1.0
