,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,0.9999999999999999,0.41387925280548016,0.4014858780326797,0.6282706094717936,0.3732984182057458
mean_std,0.41387925280548016,1.0,0.9989175002915563,0.6008299670021338,0.3708838374481298
percentiles,0.4014858780326797,0.9989175002915563,1.0,0.5981737275686316,0.36326441278600213
pca,0.6282706094717936,0.6008299670021338,0.5981737275686316,1.0,0.5766203572281875
flatten,0.3732984182057458,0.3708838374481298,0.36326441278600213,0.5766203572281875,1.0
