,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.22091283202394318,0.3669724770642202,0.2841132147153803,0.251688518077076
mean_std,0.22091283202394318,1.0,0.47104018912529555,0.18822610563311531,0.18280265071925003
percentiles,0.3669724770642202,0.47104018912529555,1.0,0.31173328637670955,0.27379447354162906
pca,0.2841132147153803,0.18822610563311531,0.31173328637670955,1.0,0.17285597045547804
flatten,0.251688518077076,0.18280265071925003,0.27379447354162906,0.17285597045547804,1.0
