,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.24203802152416362,0.2358478624986414,0.41590322661113743,0.230280062614838
mean_std,0.24203802152416362,1.0,0.9644529320125995,0.42126676706580674,0.23150058838754597
percentiles,0.2358478624986414,0.9644529320125995,1.0,0.41997025715831426,0.2314432684240553
pca,0.41590322661113743,0.42126676706580674,0.41997025715831415,1.0,0.4105106930536257
flatten,0.23028006261483802,0.23150058838754597,0.2314432684240553,0.41051069305362564,1.0
