,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.6691084456196252,0.3730727443382468,0.30703244206011887,0.3548796117204331
mean_std,0.6691084456196252,1.0,0.41788545030270735,0.2155337119587551,0.384173626275574
percentiles,0.3730727443382468,0.41788545030270735,1.0,0.25816713469554164,0.4829074753005456
pca,0.30703244206011887,0.2155337119587551,0.25816713469554164,1.0,0.18978953289106523
flatten,0.3548796117204331,0.384173626275574,0.4829074753005456,0.18978953289106523,1.0
