,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.7462409981395816,0.9074012096930788,0.8611727404337889,0.7275184748439457
mean_std,0.7462409981395816,1.0,0.9333790084175507,0.6230948793976143,0.6235129278407625
percentiles,0.9074012096930788,0.9333790084175507,1.0000000000000002,0.7722995797363564,0.7454547226675273
pca,0.8611727404337889,0.6230948793976143,0.7722995797363564,1.0000000000000002,0.7539174597938667
flatten,0.7275184748439457,0.6235129278407625,0.7454547226675273,0.7539174597938667,1.0
