,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0,0.33783018431700934,0.3288008096019697,0.37178840825653675,0.1600049535910837
mean_std,0.3378301843170093,1.0,0.4031497505331355,0.24721980073217356,0.32025891714052884
percentiles,0.3288008096019697,0.4031497505331355,1.0,0.3206353709809888,0.3084450256847549
pca,0.37178840825653686,0.2472198007321736,0.3206353709809888,1.0,0.10658081370861511
flatten,0.1600049535910837,0.3202589171405288,0.3084450256847549,0.10658081370861512,1.0
