,summary_stats,mean_std,percentiles,pca,flatten
summary_stats,1.0000000000000002,0.6198921685963898,0.6667941849691645,0.553452938546566,0.41767222263061
mean_std,0.6198921685963898,1.0,0.9129924532894084,0.47815761688017416,0.274180244022152
percentiles,0.6667941849691645,0.9129924532894084,1.0,0.47467887031354083,0.3457291439925741
pca,0.553452938546566,0.47815761688017416,0.47467887031354083,1.0,0.5459443847485613
flatten,0.41767222263061,0.274180244022152,0.3457291439925741,0.5459443847485613,1.0
