region_name,summary_stats,mean_std,percentiles,pca,flatten
17Networks_LH_DefaultC_PHC_1,0.2857142857142857,0.92,0.9714285714285714,0.0,0.825
17Networks_RH_SomMotA_3,0.22857142857142856,0.92,0.9714285714285714,0.8636363636363636,0.0125
17Networks_LH_DefaultA_PFCm_1,0.3142857142857143,0.92,0.5428571428571428,0.8181818181818182,0.3875
17Networks_RH_DefaultC_PHC_1,0.11428571428571428,0.88,0.9714285714285714,0.0,0.8125
17Networks_LH_DefaultB_PFCv_2,0.2857142857142857,0.92,0.4857142857142857,0.8181818181818182,0.05
17Networks_RH_DefaultB_PFCv_1,0.11428571428571428,0.92,0.9714285714285714,0.18181818181818182,0.05
17Networks_LH_ContB_PFClv_1,0.11428571428571428,0.92,0.9714285714285714,0.0,0.125
17Networks_RH_SalVentAttnA_Ins_1,0.11428571428571428,0.08,0.3142857142857143,0.7727272727272727,0.325
17Networks_RH_SomMotA_4,0.11428571428571428,0.3,0.02857142857142857,0.8636363636363636,0.1875
17Networks_LH_DefaultB_IPL_1,0.11428571428571428,0.72,0.08571428571428572,0.5454545454545454,0.0125
